股票名, 代码, 时间戳, 上市时间
SH603628, 清源股份, 1484150400, 2017-01-12 00:00:00
SZ300590, 移为通信, 1484064000, 2017-01-11 00:00:00
SH603266, 天龙股份, 1483977600, 2017-01-10 00:00:00
SH603689, 皖天然气, 1483977600, 2017-01-10 00:00:00
SZ300591, 万里马, 1483977600, 2017-01-10 00:00:00
SH603877, 太平鸟, 1483891200, 2017-01-09 00:00:00
SZ002840, 华统股份, 1483977600, 2017-01-10 00:00:00
SZ300583, 赛托生物, 1483632000, 2017-01-06 00:00:00
SH603228, 景旺电子, 1483632000, 2017-01-06 00:00:00
SZ002838, 道恩股份, 1483632000, 2017-01-06 00:00:00
SZ300587, 天铁股份, 1483545600, 2017-01-05 00:00:00
SH603032, 德新交运, 1483545600, 2017-01-05 00:00:00
SH603035, 常熟汽饰, 1483545600, 2017-01-05 00:00:00
SZ300588, 熙菱信息, 1483545600, 2017-01-05 00:00:00
SH603186, 华正新材, 1483372800, 2017-01-03 00:00:00
SH603444, 吉比特, 1483459200, 2017-01-04 00:00:00
SZ300586, 美联新材, 1483459200, 2017-01-04 00:00:00
SH603239, 浙江仙通, 1483027200, 2016-12-30 00:00:00
SZ002836, 新宏泽, 1482940800, 2016-12-29 00:00:00
SH603929, 亚翔集成, 1483027200, 2016-12-30 00:00:00
SZ300585, 奥联电子, 1482940800, 2016-12-29 00:00:00
SH603218, 日月股份, 1482854400, 2016-12-28 00:00:00
SZ002833, 弘亚数控, 1482854400, 2016-12-28 00:00:00
SZ002837, 英维克, 1482940800, 2016-12-29 00:00:00
SH601375, 中原证券, 1483372800, 2017-01-03 00:00:00
SZ300582, 英飞特, 1482854400, 2016-12-28 00:00:00
SH603886, 元祖股份, 1482854400, 2016-12-28 00:00:00
SZ002835, 同为股份, 1482854400, 2016-12-28 00:00:00
SH603298, 杭叉集团, 1482768000, 2016-12-27 00:00:00
SZ002832, 比音勒芬, 1482422400, 2016-12-23 00:00:00
SH600996, 贵广网络, 1482681600, 2016-12-26 00:00:00
SH603058, 永吉股份, 1482422400, 2016-12-23 00:00:00
SZ300579, 数字认证, 1482422400, 2016-12-23 00:00:00
SH603577, 汇金通, 1482336000, 2016-12-22 00:00:00
SZ300581, 晨曦航空, 1482163200, 2016-12-20 00:00:00
SH603416, 信捷电气, 1482249600, 2016-12-21 00:00:00
SZ300577, 开润股份, 1482249600, 2016-12-21 00:00:00
SH603823, 百合花, 1482163200, 2016-12-20 00:00:00
SZ300576, 容大感光, 1482163200, 2016-12-20 00:00:00
SH603878, 武进不锈, 1482076800, 2016-12-19 00:00:00
SZ300575, 中旗股份, 1482163200, 2016-12-20 00:00:00
SH603389, 亚振家居, 1481731200, 2016-12-15 00:00:00
SZ002831, 裕同科技, 1481817600, 2016-12-16 00:00:00
SH603585, 苏利股份, 1481644800, 2016-12-14 00:00:00
SZ002829, 星网宇达, 1481558400, 2016-12-13 00:00:00
SH603098, 森特股份, 1481817600, 2016-12-16 00:00:00
SZ002830, 名雕股份, 1481558400, 2016-12-13 00:00:00
SH603708, 家家悦, 1481558400, 2016-12-13 00:00:00
SZ300571, 平治信息, 1481558400, 2016-12-13 00:00:00
SH603928, 兴业股份, 1481472000, 2016-12-12 00:00:00
SZ300573, 兴齐眼药, 1481126400, 2016-12-08 00:00:00
SH603036, 如通股份, 1481212800, 2016-12-09 00:00:00
SZ002828, 贝肯能源, 1481126400, 2016-12-08 00:00:00
SH603990, 麦迪科技, 1481126400, 2016-12-08 00:00:00
SZ002827, 高争民爆, 1481212800, 2016-12-09 00:00:00
SH603033, 三维股份, 1481040000, 2016-12-07 00:00:00
SZ300570, 太辰光, 1480953600, 2016-12-06 00:00:00
SH600909, 华安证券, 1480953600, 2016-12-06 00:00:00
SZ300572, 安车检测, 1480953600, 2016-12-06 00:00:00
SZ002826, 易明医药, 1481212800, 2016-12-09 00:00:00
SH603319, 湘油泵, 1480435200, 2016-11-30 00:00:00
SZ300568, 星源材质, 1480521600, 2016-12-01 00:00:00
SH603559, 中通国脉, 1480608000, 2016-12-02 00:00:00
SZ002825, 纳尔股份, 1480348800, 2016-11-29 00:00:00
SH603660, 苏州科达, 1480521600, 2016-12-01 00:00:00
SZ002822, 中装建设, 1480348800, 2016-11-29 00:00:00
SH603323, 吴江银行, 1480348800, 2016-11-29 00:00:00
SZ300569, 天能重工, 1480003200, 2016-11-25 00:00:00
SH603819, 神力股份, 1480003200, 2016-11-25 00:00:00
SZ002823, 凯中精密, 1479916800, 2016-11-24 00:00:00
SH603336, 宏辉果蔬, 1479916800, 2016-11-24 00:00:00
SH603900, 通灵珠宝, 1479830400, 2016-11-23 00:00:00
SZ300567, 精测电子, 1479744000, 2016-11-22 00:00:00
SH603727, 博迈科, 1479744000, 2016-11-22 00:00:00
SZ300565, 科信技术, 1479744000, 2016-11-22 00:00:00
SH603987, 康德莱, 1479657600, 2016-11-21 00:00:00
SZ002821, 凯莱英, 1479398400, 2016-11-18 00:00:00
SH603858, 步长制药, 1479398400, 2016-11-18 00:00:00
SZ002820, 桂发祥, 1479398400, 2016-11-18 00:00:00
SH603633, 徕木股份, 1479312000, 2016-11-17 00:00:00
SZ300562, 乐心医疗, 1479225600, 2016-11-16 00:00:00
SZ300561, 汇金科技, 1479312000, 2016-11-17 00:00:00
SZ300566, 激智科技, 1479139200, 2016-11-15 00:00:00
SH601229, 上海银行, 1479225600, 2016-11-16 00:00:00
